track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0wSQxRjHwKpat4YeTg0KKY,Japanese-Pop-Music,0.456,0.824,8.0,-3.502,1.0,0.0816,0.0178,6.05e-06,0.0736,0.558,140.004
1ZjL8ud1dhT9PDVe3Ov8kF,再生,0.525,0.916,6.0,-2.407,1.0,0.0321,0.0191,0.000696,0.0862,0.754,150.01
61V8MzuVfWKNMEAxrVdgQ8,Japanese-Pop-Music,0.509,0.916,8.0,-1.433,1.0,0.0759,0.0179,3.32e-05,0.0584,0.752,140.06
5dz0hCNxsQJSQadpeEfK72,Mermaid,0.61,0.819,11.0,-5.168,0.0,0.0503,0.0445,7.22e-05,0.841,0.558,173.955
41fsDzzR2sfX4mecsLfncN,Japanese-Pop-Music,0.517,0.895,8.0,-3.794,1.0,0.0714,0.00108,0.00202,0.0671,0.644,140.067
11dSzgfnrwDrODPU2A2PRD,好きだ,0.772,0.94,4.0,-3.845,0.0,0.0354,0.136,2.53e-06,0.347,0.839,120.026
66TjT2QwECFY9N6QrpXeO2,"Fall - (From ""TRON: Legacy"") [Japanese Popstars Remix]",0.513,0.944,4.0,-5.602,1.0,0.0578,0.00221,0.84,0.11,0.0379,110.021
2BKnDjJA2uystZA6TciFVE,飛行,0.591,0.456,7.0,-12.967,1.0,0.038,0.718,0.886,0.109,0.392,99.997
2sJZ12CZ56BnntQAwD2EPL,Popee the Clown - Japanese Version,0.75,0.846,0.0,-4.392,1.0,0.0706,0.303,0.0,0.21,0.961,147.007
34HnIHNRAmj0vNoCwh9L6Z,Moon,0.69,0.836,10.0,-3.899,0.0,0.0562,0.00521,0.00334,0.0883,0.685,119.969
1Gb80QJ4mnwSAp2Yol1iB2,Wonky - Japanese Popstars Mix,0.762,0.678,7.0,-5.326,1.0,0.146,0.000416,0.923,0.0807,0.0776,127.959
0nMcZfnRkGKFLrHpmRFGKi,NIGHT DANCER,0.911,0.585,7.0,-8.078,0.0,0.0735,0.0945,0.0,0.134,0.851,117.06
5DQ56NfWSwFY03GjFWW3Bu,Sanshi Suimei - Traditional Japanese Style Mix,0.862,0.272,0.0,-13.554,1.0,0.116,0.844,0.912,0.0822,0.177,84.022
6tEUPYdS5m5LmZnmARmOCT,Spending all my time,0.663,0.955,2.0,-2.28,1.0,0.0399,0.119,0.00604,0.0558,0.849,130.021
5wc5wRyWq1p7X59PU3fZXi,Daichino Kaze - Traditional Japanese Style Mix,0.878,0.602,1.0,-10.126,1.0,0.046,0.273,0.743,0.11,0.884,109.989
57rJlyLrqT97JCX90JbdCS,ファンデーション,0.676,0.914,11.0,-4.494,0.0,0.0342,0.0357,0.0175,0.145,0.88,127.029
5kskVZ5D1P5FS9z5PYHpKG,A Japanese Popstar,0.205,0.949,1.0,-7.358,1.0,0.0913,1.57e-06,0.857,0.367,0.332,93.498
0PS3Dtk4MMkrFVXa2Yav3y,575,0.655,0.904,11.0,-2.787,0.0,0.0313,0.0371,0.00239,0.0795,0.954,114.996
0pqfdFt4WHavGluMQCtemb,Matter Of Time - The Japanese Popstars Techno mix,0.734,0.879,5.0,-5.51,1.0,0.137,0.00835,0.898,0.106,0.463,124.972
6cdTg0eMWki5wbLjPA6vmy,If you wanna,0.571,0.814,9.0,-2.034,1.0,0.0302,0.298,0.195,0.236,0.769,149.99
4tvIQ57fWca31AYe7NujCz,Beauty and the Beast - Japanese Version,0.189,0.0861,5.0,-19.891,0.0,0.0345,0.833,8.25e-05,0.142,0.17,92.722
3dTlqznloNjHBFH65UvoMt,シークレットシークレット,0.636,0.924,6.0,-1.962,0.0,0.0384,0.101,1.09e-06,0.117,0.901,132.034
7yVbqHDFL6tuUT7ywOT0Vv,A Dream Is A Wish Your Heart Makes - Pop Version,0.437,0.418,5.0,-9.223,0.0,0.0288,0.599,0.0,0.144,0.0925,137.166
0EPiFuXH49M1kEWhAC6G4O,クエスチョン,0.681,0.893,1.0,-3.781,1.0,0.0533,0.0401,0.0,0.0534,0.884,169.995
5OpakLlvLUPPeyzh0SZ8nS,Freedom Love,0.679,0.943,6.0,-3.516,1.0,0.0487,0.153,2.64e-06,0.0161,0.775,139.871
0avzpSgESx7sjlxFDr98iv,NIGHT FLIGHT,0.614,0.97,0.0,-1.372,0.0,0.0404,0.00821,3.24e-05,0.144,0.827,145.01
4Yzj4XfrLQmbRQpWIJ84Re,Strolling Around an Old Castle in Komoro,0.244,0.0317,11.0,-23.737,0.0,0.0543,0.995,0.00082,0.0884,0.0762,176.95
0zWuIu9wDk1lpSbK8yFZmv,Spring of Life,0.541,0.987,5.0,-1.688,0.0,0.0627,0.000195,0.309,0.106,0.872,132.002
2Ivt6MB3CMiXRPsBrQBF1o,I Found a Tiny Autumn,0.441,0.048,4.0,-22.243,0.0,0.0583,0.994,0.00456,0.0999,0.169,70.238
3QwkPWlV0Y75z2LHcTBOH2,コミュニケーション,0.807,0.87,0.0,-2.939,1.0,0.0518,0.0108,0.00434,0.0625,0.964,115.001
5ZKaL2m56nBuTfupgCJtW5,Nu Vox,0.186,0.672,4.0,-19.89,0.0,0.0548,0.0909,0.0,0.924,0.0212,120.528
69FgxUNACAfTiWmcTjSftU,Evening Primrose,0.289,0.0168,10.0,-26.013,0.0,0.0453,0.992,0.0123,0.103,0.0669,93.04
0qMWgeZ0noIwad06RmVQpm,Spinning World,0.694,0.91,11.0,-3.386,0.0,0.0564,0.00269,0.0394,0.0638,0.69,109.989
06dzwsCEI0R9KL84J4HwDP,"Over There, Over Yonder",0.384,0.129,0.0,-16.451,1.0,0.0494,0.994,0.000342,0.0878,0.207,125.029
2Mhu1uLMlKlvc0V17Tni0v,IIHI TABIDACHI,0.189,0.0693,2.0,-19.416,0.0,0.0401,0.985,0.92,0.0855,0.115,79.151
22N8TullxTHBKTvt1FYzQM,Dial 1,0.461,0.181,5.0,-14.85,1.0,0.0859,0.982,0.0201,0.726,0.155,137.514
3zIg70E1b4dXlK2zFSPHlF,popcorn nights,0.797,0.44,1.0,-4.018,1.0,0.0885,0.269,0.0117,0.108,0.607,72.984
4q37IesC5m7EkvZJTdF5zK,I Talked with the Fog,0.371,0.0291,4.0,-22.068,0.0,0.046,0.995,0.00175,0.0806,0.111,135.745
3U4q2PzQAGlT4iistqvnDl,Routine Life,0.739,0.838,11.0,-2.875,0.0,0.0324,0.114,7.3e-05,0.271,0.655,105.009
52uOkVWm27R6V1eh8naDC1,Dried Gourd Shavings,0.449,0.211,0.0,-14.684,1.0,0.0716,0.99,0.0546,0.103,0.175,138.954
4xOXlqUgehg1zyWhmFswQK,Memories,0.772,0.879,6.0,-2.814,0.0,0.113,0.205,2.02e-05,0.285,0.917,117.0
4775TJb5xEsTLR8kGYSKNw,KAWANO NAGARENO YOUNI,0.161,0.0774,5.0,-17.362,1.0,0.0379,0.987,0.773,0.0878,0.145,67.758
1MmiYaCIvog6akmLaTg76P,GAME,0.5,0.955,0.0,-1.639,1.0,0.0327,2.6e-05,0.124,0.117,0.47,135.021
7gQa1tt7efA4gdhU5FuPxS,Dial 2,0.757,0.764,6.0,-12.1,0.0,0.651,0.955,0.018,0.762,0.426,120.114
6Jf6l54ftlk6rvk14v0kma,The Light,0.738,0.882,4.0,-5.098,1.0,0.0435,0.0181,0.000223,0.119,0.701,130.036
27OPlS2GWqVDhCQjNjyG3J,Plover,0.274,0.0785,3.0,-20.398,1.0,0.0438,0.995,0.00211,0.127,0.0669,106.794
2wPSiRWMFFeL1FC4MJ3Qxf,POP SONG,0.762,0.792,11.0,-6.443,0.0,0.134,0.22,1.74e-05,0.939,0.806,109.968
260NhUbJUTQO6zI0pGqQIa,Kojo no tsuki (Moon at a desolate castle) [text by B. Tsuchii]: The Moon Over a Ruined Castle,0.324,0.0386,0.0,-22.972,0.0,0.0459,0.994,0.156,0.0933,0.0766,61.605
6NkIytZwFeUreuosblTrcI,IGGY POP FAN CLUB,0.368,0.859,4.0,-6.163,1.0,0.11,0.00176,0.144,0.29,0.655,127.044
4y5AEnGBaDIJhNLdwkZGTq,Blood In the Ballroom,0.537,0.904,10.0,-9.126,0.0,0.0366,0.00159,0.857,0.0436,0.202,114.956
6nUsvSdZZeqMKlRHFCC34I,ポイント,0.449,0.883,6.0,-3.923,1.0,0.041,0.00139,0.0634,0.148,0.675,175.007
0N1xOyCkgYnEiKWA5JvekZ,Mother's Song,0.288,0.069,0.0,-20.448,1.0,0.0599,0.995,0.00511,0.0765,0.123,83.823
0yIE2un7AXpV5W09XpvX9r,Plasma,0.436,0.765,6.0,-7.03,1.0,0.0334,0.0271,0.863,0.0887,0.136,170.1
2cVsY8bBljqKSCKAUdbcwQ,Suzhou Nocturne,0.36,0.0437,10.0,-23.043,1.0,0.044,0.995,0.00132,0.121,0.111,65.854
6HPIILGgNy0a4zGnMdmBgv,ポリゴンウェイヴ - Original Mix,0.625,0.91,6.0,-2.435,1.0,0.0298,0.00995,0.000692,0.327,0.787,128.012
0QexojO6FdpFC1ZEuBDw1g,Breaking Breakfast,0.779,0.422,2.0,-12.951,0.0,0.0488,0.00289,0.817,0.158,0.504,144.018
5yq8JkSClLJVdfy4ZMUAmB,TOKYO GIRL,0.728,0.912,2.0,-3.074,1.0,0.0331,0.282,0.385,0.0807,0.678,127.973
4Wnhxre1nYm7ZgOArG5EUC,Ghost in the House,0.693,0.4,8.0,-12.793,1.0,0.0346,0.0495,0.917,0.187,0.352,138.829
2W8JpBzB3rVus7hAdkQ4rx,ピリオド,0.647,0.845,11.0,-5.259,0.0,0.0496,0.103,3.66e-06,0.217,0.719,132.992
4NxAa8UcBVqvxrGLjYC1Yb,Nonchalance Kimochi,0.626,0.426,1.0,-13.838,1.0,0.0816,0.00105,0.629,0.159,0.317,76.005
0EwlXphe0uRmf87emS99LT,Komoriuta (Lullaby): Lullaby,0.383,0.0403,5.0,-23.296,1.0,0.0543,0.994,6.78e-05,0.0776,0.147,132.427
69GFNPqBlDecUMaZ95b5ha,NIGHT DANCER,0.911,0.585,7.0,-8.078,0.0,0.0735,0.0945,0.0,0.134,0.851,117.06
10mcuH6Np1gTdJUt9xQNDd,Element Pump,0.67,0.97,10.0,-8.466,0.0,0.041,9.56e-06,0.861,0.237,0.0856,131.973
3M6R3MaIkliOaZQ4YX67W1,451,0.753,0.45,8.0,-7.715,1.0,0.0828,0.135,0.0,0.0994,0.81,180.039
71Gr0OWC7FgtJDjGCgtafc,Denim Showdown,0.625,0.508,11.0,-11.53,0.0,0.0295,0.000587,0.474,0.0506,0.775,144.039
0xHXEXHx2dQmQDsOldY06H,花,0.769,0.716,5.0,-8.203,0.0,0.0429,0.118,0.00659,0.158,0.66,123.031
5WRCc26OHSDM2EE7I8iJe9,Tokyo Flight,0.52,0.885,10.0,-3.81,0.0,0.0639,0.00682,0.000527,0.128,0.463,112.118
