track_id,track_name,artist_name,album_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
52QLogPTXh3KJI7JwjG2vP,4'33 - Japanese Popstars Watch Family Guy on Mute Mix Cage Against the Machine Version,John Cage,Cage Against the Machine,2010-12-12,7,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6hBPSAsflvq3VVl3O34FfW,Idol,YOASOBI,E-SIDE 3,2024-04-12,46,0.596,0.954,1.0,-2.75,0.0,0.11,0.149,0.0,0.465,0.83,165.778
2lgPq123AnJlC8ajLXoRUW,Closer To The Edge - The Japanese Popstars Mix,Thirty Seconds To Mars,Closer To The Edge,2010-01-01,4,0.594,0.916,8.0,-4.188,1.0,0.0865,6.52e-05,0.522,0.0834,0.193,127.0
3LqZhe0pkxDCIHH0eQabDv,wonder2,Perfume,Perfume～Complete Best～,2006-08-02,37,0.634,0.975,8.0,-2.941,0.0,0.0466,0.503,0.0376,0.335,0.818,127.653
4ecB9DJWxPgklgK18QReZ1,Matter Of Time - OC & Verde dub,The Japanese Popstars,Matter Of Time,2020-08-27,12,0.759,0.683,9.0,-8.724,1.0,0.0855,0.00907,0.85,0.0751,0.149,125.998
69O0RdcJkH7eimOTXw41L7,Adventure,YOASOBI,Adventure,2024-02-16,47,0.776,0.855,9.0,-3.757,1.0,0.0337,0.237,0.0,0.0707,0.856,128.024
0HIoqptSi0bei1EkpZ9FNT,Black Light,BUMPER,pop songs 2020,2020-09-04,28,0.66,0.676,0.0,-8.71,1.0,0.0394,0.0468,0.0822,0.0498,0.606,90.026
3vjGM4SVWYwEg12ccHdGqw,Future Pop,Perfume,Future Pop,2018-08-15,22,0.528,0.971,5.0,-1.029,1.0,0.0962,0.0204,0.0449,0.101,0.181,180.004
4yMUJoMgUOxMQKBTKD9vrl,JAPANESE GIRL,BEAT CRUSADERS,P.O.A.〜POP ON ARRIVAL〜,2005-05-11,29,0.45,0.927,9.0,-4.571,1.0,0.0814,0.00017,0.0,0.0958,0.887,173.998
77WrUAbySLHjGwd5n9B7WN,Moon,Perfume,Moon,2023-08-17,42,0.69,0.836,10.0,-3.899,0.0,0.0562,0.00521,0.00334,0.0883,0.685,119.969
13cnHG337rKv5qgBZl9EcA,Red Brick,BUMPER,pop songs 2020,2020-09-04,24,0.797,0.509,0.0,-7.187,1.0,0.0375,0.0639,2.27e-05,0.121,0.737,104.017
0E5TZgeNbdxoR7YwZG9PTO,ポリリズム,Perfume,GAME,2008,35,0.533,0.951,5.0,-1.838,0.0,0.0371,0.01,0.0,0.335,0.831,128.0
18L6KppkJ3SzdM169N0Xbh,You Can Get It,BUMPER,pop songs 2020,2020-09-04,24,0.593,0.651,4.0,-6.623,1.0,0.0543,0.0757,0.00146,0.16,0.432,96.996
1cVsRfHoJA5AwQ7N9T742c,TOKYO GIRL - Remastered,Perfume,Future Pop,2018-08-15,33,0.728,0.915,2.0,-3.13,1.0,0.0339,0.222,0.153,0.0831,0.659,127.97
5zKOK7Iw6Em7rkWJmquZYi,Ballad 0,BUMPER,pop songs 2020,2020-09-04,23,0.442,0.469,8.0,-8.908,1.0,0.0303,0.292,0.952,0.264,0.187,77.036
7F0zxzWvVEBamWpY8sbBPN,引力,Perfume,Perfume～Complete Best～,2006-08-02,33,0.738,0.875,11.0,-3.869,0.0,0.0418,0.0975,0.000106,0.0594,0.8,140.003
3KJHDWhswwu5WZdGfVaXSX,Feel the POP - Japanese ver.,ZEROBASEONE,Feel the POP (Japanese ver.),2024-05-17,39,0.748,0.763,9.0,-6.015,1.0,0.159,0.133,0.0,0.305,0.671,149.033
